,uuid,municipio,estrato_vivienda,nivel_educativo,cilin_grupo,modelo_grupo,dias_semana,herramienta_trabajo,transporte_cotidiano,trabajo_domicilios,trabajo_transporte_pasajeros,frecuencia_revisionpre,costo_casco,costo_mantenimiento,gasto_anual,licencia_moto,licencia_curso,experiencia,riesgo_velocidad,riesgo_sinlucesdia,riesgo_sinlucesnoche,riesgo_sinreflectivos,motivo_dinero,motivo_tiempo,motivo_independencia,epp_casco,epp_guantes,epp_botas,epp_rodilleras,epp_reflectivos,epp_chaquetaprot,epp_chaquetairbag,edad,sexo,clase_moto,tipo_freno,sector
0,1_10_1,MEDELLÍN,2,Secundaria,100-125,2021-2022,7,0,1,0,0,Mayor a 75%,269000,159000.0,1900000.0,1,0,>20,1,1,1,1,1,1,1,1,0,1,0,0,1,0,43,hombre,moto_street,frenos_mixto,sector_servicio
1,1_10_10,MEDELLÍN,3,Secundaria,126-200,2011-2020,5,1,0,0,0,Entre 25% y 50%,385000,158000.0,1110000.0,1,0,>20,1,1,1,1,1,1,1,1,0,0,0,1,0,0,36,hombre,moto_street,frenos_mixto,sector_transporte
2,1_10_100,MEDELLÍN,3,Técnica / Tecnológica,<100,2011-2020,6,1,0,0,0,Mayor a 75%,336000,109000.0,1450000.0,1,1,6-10,1,0,1,1,1,1,1,1,0,0,0,1,0,0,31,hombre,moto_street,frenos_tambor,sector_servicio
3,1_10_1000,MEDELLÍN,3,Secundaria,126-200,2011-2020,7,0,1,0,0,Entre 25% y 50%,396000,107000.0,1030088.0,1,0,6-10,1,0,1,1,0,1,1,1,0,0,0,0,0,0,34,hombre,moto_street,frenos_mixto,sector_comercio
5,1_10_1002,MEDELLÍN,3,Secundaria,126-200,2011-2020,7,0,1,0,0,Mayor a 75%,347000,125000.0,1448000.0,1,1,11-20,0,0,1,1,1,1,1,1,1,0,0,1,0,0,38,hombre,moto_street,frenos_mixto,sector_servicio
7,1_10_1004,MEDELLÍN,3,Secundaria,<100,2011-2020,7,0,1,0,0,Menos del 25%,156000,112000.0,1290000.0,1,1,6-10,0,0,1,1,1,1,0,1,1,0,0,1,0,0,22,hombre,moto_street,frenos_tambor,sector_servicio
8,1_10_1005,MEDELLÍN,2,Universitaria o postgrado,100-125,2011-2020,6,1,0,0,0,Entre 25% y 50%,305000,90000.0,1148000.0,1,0,3-5,1,0,1,1,0,0,0,1,1,0,0,0,1,0,24,mujer,moto_scooter,frenos_mixto,sector_comercio
14,1_10_1010,MEDELLÍN,2,Secundaria,126-200,2011-2020,7,0,1,0,0,Mayor a 75%,309000,467000.0,2500000.0,1,1,11-20,1,0,1,1,1,0,1,1,0,0,0,0,0,0,26,hombre,moto_street,frenos_disco,sector_servicio
19,1_10_1015,MEDELLÍN,3,Técnica / Tecnológica,126-200,2021-2022,7,0,1,0,0,Mayor a 75%,993000,53000.0,3670000.0,1,1,11-20,1,0,1,1,1,0,0,1,0,0,0,1,0,0,31,mujer,moto_scooter,frenos_disco,sector_comercio
20,1_10_1016,MEDELLÍN,3,Secundaria,<100,2011-2020,7,1,0,0,0,Mayor a 75%,203000,114000.0,1300000.0,1,1,11-20,1,1,1,1,1,0,1,1,0,0,0,0,0,0,26,hombre,moto_street,frenos_tambor,sector_comercio
